Make Year,Time Counter  (Sec), Trip Duration (min), Latitude (deg), Longitude (deg), Input voltage read by the scan tool (V),Engine Power (HP), Hard Brake Count, Hard Accel Count, Idling Count, Seconds Idling (sec), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT), Calculated load value (%),Engine RPM (RPM), Absolute throttle position (%), O2 voltage (Bank 1  Sensor 1) (V), O2 voltage (Bank 1  Sensor 2) (V), Bearing (deg),Vehicle Speed (KmpH),GPS Speed (kmpH),Instant Fuel Economy (KmpL),Fuel Rate (LpH),Trip Distance (Km),Trip Fuel( L),Acceleration X (m/sec^2),Acceleration Y (m/sec^2),Acceleration Z (m/sec^2),Acceleration G X (m/sec^2),Acceleration G Y (m/sec^2),Acceleration G Z (m/sec^2),Engine Coolant Temp (°C),Intake Manifold Absolute Pressure (mmHg),Intake Air temperature (°C),Distance Travelled MIL Activated (km),Mass Air Flow Rate (g/min),Boost (KPa),Acceleration (m/sec^2),Engine Torque (Kg/m),Altitude (m),Horizontal Accuracy GPS (m)
Chrysler 2021,12.662,0.227878,41.53178,-93.64792,14.2,7.208357,0,0,0,0,4.329819,1.050034,-14.61232,-8.982989,-51.66664,29.59946,-24.55401,-19.78354,27.45098,1218,12.94118,0.115,0.8,185.8446,15.99996011026,14.519744,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-1.017606180192,-0.779266123839,0.821280503281,1.634456652773,-5.88682897768,-7.8991007956,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.8401112,14.37857424
Chrysler 2021,13.665,0.227878,41.53175,-93.64792,14.2,7.208357,0,0,0,0,-0.09355164,-12.66258,-2.787704,-5.364933,-52.13079,29.96863,-24.28838,-22.71643,27.45098,1218,12.94118,0.115,0.8,185.0617,15.99996011026,13.4471936,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.310550461263,-0.0384926172477,0.1757349977565,1.155900185111,-6.16944046488,-7.69986457394,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.90963608,7.998000768
Chrysler 2021,14.665,0.227878,41.53172,-93.64794,14.2,7.208357,0,0,0,0,3.372498,-2.905716,0.5211487,-2.654408,-49.98134,30.24844,-25.64579,-23.36105,27.45098,1218,12.94118,0.115,0.8,196.6696,15.99996011026,14.519744,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.2087398558798,0.622819695365,-0.2877978895757,0.475862026822,-6.99782252666,-7.27759022053,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.91725608,7.524740856
Chrysler 2021,15.668,0.227878,41.53168,-93.64797,14.2,7.208357,0,0,0,0,7.262969,14.1317,-18.23967,-4.980319,-49.32895,32.71214,-23.57126,-24.06976,27.45098,1218,12.94118,0.115,0.8,202.8096,15.99996011026,15.2131216,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-1.006311169535,-0.386333438694,-0.348633822208,1.751214028634,-6.09145408102,-6.95740591406,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.77378672,6.601276104
Chrysler 2021,16.668,0.227878,41.53165,-93.648,14.2,7.208357,0,0,0,0,0.7441254,6.358017,4.07605,-9.137775,-50.64183,33.40281,-21.38107,-23.94949,27.45098,1218,12.94118,0.115,0.8,210.2622,15.99996011026,15.8699376,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.929451330171,0.0623484161545,-0.1661111195422,2.645607147785,-6.45594730886,-7.04153099006,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.08507896,7.857289848
Chrysler 2021,17.665,0.227878,41.53161,-93.64803,14.2,7.208357,0,0,0,0,0.8105164,7.949417,5.939514,-9.501369,-50.02615,29.25359,-24.01723,-21.57455,27.45098,1218,12.94118,0.115,0.8,205.4964,15.99996011026,15.2131216,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.0862068058698,-0.783787237072,0.1720177057207,2.043557202162,-5.51155798648,-7.45242712214,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.92755832,7.12567536
Chrysler 2021,18.657,0.227878,41.53157,-93.64804,14.2,7.208357,0,0,0,0,-3.549774,7.048798,9.173126,-12.46608,-49.18227,27.74158,-24.84266,-21.10785,27.45098,1218,12.94118,0.115,0.8,198.3118,15.99996011026,15.8699376,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.562352358582,-0.02561286694344,-0.0987612237787,2.997826039355,-6.20491625327,-7.1569408407,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.91472624,10.39450296
Chrysler 2021,19.789,0.227878,41.53152,-93.64805,14.2,7.208357,0,0,0,0,-1.233521,-3.100861,8.372879,-8.146622,-49.63985,22.52171,-27.66498,-22.02847,27.45098,1218,12.94118,0.115,0.8,190.6292,15.99996011026,20.00064,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,1.354004375857,-0.1040679311091,0.313244292501,0.460593630329,-6.06421096764,-7.74821210856,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.94212776,10.32511524
Chrysler 2021,20.668,0.227878,41.53147,-93.64805,14.2,7.208357,0,0,0,0,-6.107056,-14.85181,4.446716,-6.710985,-50.57541,22.17249,-27.70199,-21.12268,27.45098,1218,12.94118,0.115,0.8,182.5518,15.99996011026,20.00064,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.2989431210213,0.332848178418,1.04788754994,0.960406005328,-6.44366992458,-8.6361705738,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.82926032,6.104296656
Chrysler 2021,21.67,0.227878,41.53142,-93.64805,14.2,7.208357,0,0,0,0,1.127335,0.9707641,-1.029236,-5.526917,-50.91323,22.06586,-27.65688,-22.02475,27.45098,1218,12.94118,0.115,0.8,178.8738,15.99996011026,20.00064,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.1505121663647,-0.101215877672,0.0902001256912,1.143326229458,-5.99026319703,-7.72381278851,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.60718304,7.589364552
Chrysler 2021,22.669,0.227878,41.53136,-93.64805,14.2,7.208357,0,0,0,0,-0.6445313,7.431747,3.498566,-2.984935,-54.41518,19.21877,-29.40092,-24.54968,27.45098,1218,12.94118,0.115,0.8,180,15.99996011026,20.41616,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.34429406557,-0.397522073802,0.0619738157255,1.190478334556,-5.48221784222,-7.84251753796,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.60608576,6.284162184
Chrysler 2021,23.668,0.227878,41.53131,-93.64806,14.2,7.208357,0,0,0,0,30.66757,8.542313,26.51183,3.448386,-40.05865,7.312866,-44.94299,-19.29486,27.45098,1218,12.94118,0.115,0.8,180,15.99996011026,20.846576,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,1.269242570568,0.584461099117,-1.708657713014,-0.42676407214,-6.73362101986,-6.06076671634,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.65275064,7.679219592
Chrysler 2021,24.668,0.227878,41.53126,-93.64806,14.2,7.208357,0,0,0,0,-0.5835876,-21.08681,7.4449,10.99068,-32.42794,-3.995148,-51.82426,-16.37515,27.45098,1218,12.94118,0.115,0.8,174.1519,15.99996011026,20.846576,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,1.25681339539,0.2742538132999,-1.536038238679,-1.241672100914,-7.64986806591,-4.76805081116,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.25796152,7.487277888
Chrysler 2021,25.66,0.227878,41.53121,-93.64799,14.2,7.208357,0,0,0,0,-15.40566,-27.80176,-14.78525,10.11851,-36.87259,-6.180786,-48.88748,-21.56516,27.45098,1218,12.94118,0.115,0.8,156.5363,15.99996011026,20.846576,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.822592976387,-1.356073365045,0.2226638056419,-1.278944691199,-6.37496473117,-6.21509660667,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.65999272,7.35960936
Chrysler 2021,26.664,0.227878,41.53117,-93.64799,14.2,7.208357,0,0,0,0,9.57959,3.075561,-6.446381,6.64241,-18.23599,7.611481,-58.79844,-25.33716,27.45098,1218,12.94118,0.115,0.8,156.5363,15.99996011026,17.72704,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.603684288585,0.706674717679,-1.691805265724,0.308509513767,-8.90680642971,-3.49703978519,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.71357656,4.792879416
Chrysler 2021,27.67,0.227878,41.53114,-93.64793,14.2,7.208357,0,0,0,0,-12.3996,17.62563,6.444229,4.258005,-18.59683,8.426514,-53.48845,-27.9986,27.45098,1218,12.94118,0.115,0.8,136.016,15.99996011026,19.843264,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.000146984795832,0.653613435594,-0.1922238784137,-0.0718508311703,-9.50975462388,-4.08831105305,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.75371872,6.756522936
Chrysler 2021,28.674,0.227878,41.53109,-93.6479,14.2,7.208357,0,0,0,0,-16.32034,29.28767,-10.10847,-1.79217,-22.41802,17.23296,-41.76057,-36.35226,27.45098,1218,12.94118,0.115,0.8,130.3197,15.99996011026,19.843264,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-1.811503666434,0.0402892972223,0.507931968838,2.297130602893,-9.10095552268,-4.39502620333,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.36723232,8.551767504
Chrysler 2021,29.671,0.227878,41.53107,-93.6478,14.2,7.208357,0,0,0,0,-20.80695,7.69371,6.966507,-3.349988,-23.74905,16.17859,-40.35096,-38.3205,27.45098,1218,12.94118,0.115,0.8,97.73659,15.99996011026,19.843264,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.1845434418555,-0.02446124037315,-0.1811271408072,0.801136814793,-8.92970917685,-3.68549824349,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.18968632,9.087755256
Chrysler 2021,30.667,0.227878,41.53107,-93.64772,14.2,7.208357,0,0,0,0,3.592621,3.88266,-5.160858,-0.5438625,-28.453,12.6284,-34.5794,-41.83459,27.45098,1218,12.94118,0.115,0.8,89.41763,15.99996011026,20.427776,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.2723822741997,-0.2000092884363,0.632045412033,0.03008753460006,-8.6529346288,-4.89259249976,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.81728168,4.466283168
Chrysler 2021,31.666,0.227878,41.53107,-93.64761,14.2,7.208357,0,0,0,0,6.909561,-0.2872925,-0.1165924,-1.188321,-26.90629,14.47307,-32.06294,-44.25958,27.45098,1218,12.94118,0.115,0.8,89.14822,15.99996011026,25.634064,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.157853694691,-0.02799738612664,0.2398865251867,0.0586781853931,-8.79274379949,-4.66850890058,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.755834,4.420709472
Chrysler 2021,32.666,0.227878,41.53107,-93.64752,14.2,7.208357,0,0,0,0,-2.611252,1.249008,4.259705,-1.735061,-26.91365,16.34415,-30.98801,-45.7558,27.45098,1218,12.94118,0.115,0.8,89.14822,15.99996011026,27.95168,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.585316980325,0.1084204893891,-0.1084648379346,-0.332459861944,-8.83166383918,-4.38409908748,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.36437936,4.790782392
Chrysler 2021,33.671,0.227878,41.53107,-93.64742,14.2,7.208357,0,0,0,0,-1.277206,-2.695313,2.838638,-1.568348,-27.41868,17.92685,-30.89353,-46.24805,27.45098,1218,12.94118,0.115,0.8,89.26343,15.99996011026,29.212528,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.1761665654924,0.330525899599,-0.2036480637345,0.374372742653,-8.95695229023,-4.44442225339,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.32640128,4.78819464
Chrysler 2021,34.666,0.227878,41.53107,-93.64731,14.2,7.208357,0,0,0,0,-2.74765,5.615463,-4.075485,-0.5994279,-27.88506,16.8539,-30.79718,-45.32092,27.45098,1218,12.94118,0.115,0.8,89.26343,15.99996011026,30.838816,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.0650137789791,0.1640853816161,0.664300977858,-0.0188608420392,-8.82777153041,-5.37399215115,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.24843344,4.789743024
Chrysler 2021,35.669,0.227878,41.53107,-93.64719,14.2,7.208357,0,0,0,0,-6.441376,2.469208,2.825058,-0.5091819,-28.48925,17.29138,-30.76222,-45.63684,27.45098,1218,12.94118,0.115,0.8,89.14182,15.99996011026,31.298352,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.0619511690112,0.2781098202708,0.1768645293023,0.0776886847233,-8.86399712926,-4.964293887,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.03781664,4.782558888
Chrysler 2021,36.668,0.227878,41.53108,-93.64709,14.2,7.208357,0,0,0,0,1.34346,5.054535,-2.424484,-1.247464,-27.94982,18.36935,-33.84596,-45.83115,27.45098,1218,12.94118,0.115,0.8,89.14182,15.99996011026,31.541888,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.2137899817284,-0.0349193436844,0.0643092924278,-0.1450488522805,-8.54500764271,-4.82268639041,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,288.84012336,4.788871296
Chrysler 2021,37.669,0.227878,41.53108,-93.64698,14.2,7.208357,0,0,0,0,-2.024307,0.9686736,3.318146,-1.382243,-27.60228,19.31609,-34.23768,-46.32437,27.45098,1218,12.94118,0.115,0.8,87.93765,15.99996011026,30.643248,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.2307359724453,0.0332600984807,0.0818205975594,0.451462706772,-8.68017774218,-4.6882661014,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,288.53940768,4.788670128
Chrysler 2021,38.671,0.227878,41.53108,-93.64687,14.2,7.208357,0,0,0,0,7.237381,3.147751,-3.927689,-2.768218,-26.4662,20.7077,-36.50367,-45.70349,27.45098,1218,12.94118,0.115,0.8,86.27097,15.99996011026,30.574432,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.2662277628878,0.01622213406205,-0.604864478057,0.551604770521,-8.76325735075,-3.88772761097,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,288.28377192,4.787353392
Chrysler 2021,39.665,0.227878,41.53109,-93.64676,14.2,7.208357,0,0,0,0,7.414215,0.5159912,-4.123459,-2.809545,-24.93118,21.59138,-40.10363,-44.71948,27.45098,1218,12.94118,0.115,0.8,87.2579,15.99996011026,30.792864,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.1841859712427,-0.0339443462456,-0.764319902003,0.540078720706,-8.77149002576,-3.54838351364,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,288.18388896,4.784844888
Chrysler 2021,40.671,0.227878,41.53109,-93.64665,14.2,7.208357,0,0,0,0,-28.44545,10.49417,-57.14146,-6.228494,-25.99631,24.38951,-37.80551,-44.54321,27.45098,1218,12.94118,0.115,0.8,87.25124,15.99996011026,31.261472,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.2210456171329,-0.801022514418,0.630680208354,0.382905037046,-8.06345863883,-4.80143261668,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,288.00716592,4.783009992
Chrysler 2021,41.672,0.227878,41.53109,-93.64655,14.2,7.208357,0,0,0,0,-8.212723,-1.492966,1.938202,-9.016244,-26.97629,26.3167,-34.86483,-43.8494,27.45098,1218,12.94118,0.115,0.8,89.33638,15.99996011026,31.304672,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.556347474081,0.2170794550806,-0.0435181456556,1.848063022379,-8.80995895997,-4.35924866195,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,287.65765176,4.788005664
Chrysler 2021,42.67,0.227878,41.5311,-93.64643,14.2,7.208357,0,0,0,0,-10.18782,-4.721893,-0.1026001,-11.39174,-25.44257,30.9706,-32.70654,-47.65829,27.45098,1218,12.94118,0.115,0.8,90,15.99996011026,32.889808,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-1.212432540984,0.1906593653608,-0.683012711248,2.913551001263,-8.71939648685,-3.72366847272,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,287.38689792,4.794604584
Chrysler 2021,43.667,0.227878,41.5311,-93.64633,14.2,7.208357,0,0,0,0,-3.512466,6.822433,9.592163,-10.09281,-24.42712,29.35063,-35.10158,-48.77863,27.45098,1218,12.94118,0.115,0.8,84.91653,15.99996011026,31.863456,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.1986096422443,0.2728730038097,-0.731281912011,2.259558698026,-8.79364296244,-3.56350164324,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,287.2828392,4.792574616
Chrysler 2021,44.671,0.227878,41.53111,-93.64622,14.2,7.208357,0,0,0,0,22.90213,10.9361,7.133224,-8.943399,-24.56313,26.91439,-35.12128,-48.88495,27.45098,1218,12.94118,0.115,0.8,83.54122,15.99996011026,32.103456,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.49970295144,-0.81771707479,-0.952986844187,2.638422073812,-7.72920167019,-3.47084518725,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,287.27037288,4.795820736
Chrysler 2021,45.671,0.227878,41.53113,-93.64612,14.2,7.208357,0,0,0,0,-16.96465,3.062347,-0.5409851,-5.356458,-30.73552,19.32875,-30.25729,-47.01587,27.45098,1218,12.94118,0.115,0.8,71.62964,15.99996011026,32.008656,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.3011992580233,-0.584970421588,1.220221425738,2.174235754096,-7.9242468781,-5.62097849747,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,287.29515312,4.791827856
Chrysler 2021,46.674,0.227878,41.53116,-93.64602,14.2,7.208357,0,0,0,0,1.464706,2.794083,4.086319,-4.028872,-43.07802,8.579788,-18.53341,-39.55084,27.45098,1218,12.94118,0.115,0.8,66.41596,15.99996011026,31.185584,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.408026430665,-0.666477561799,1.282281652547,0.553700277396,-7.03164934164,-7.22819417047,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,287.14378944,4.788810336
Chrysler 2021,47.667,0.227878,41.5312,-93.64593,14.2,7.208357,0,0,0,0,8.167435,5.864151,-1.537415,-4.205072,-42.91191,8.985886,-19.13636,-38.53564,27.45098,1218,12.94118,0.115,0.8,63.21705,15.99996011026,31.094704,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.1672846643524,-0.545070446683,0.0391626003258,0.639771812582,-6.69560014312,-6.62195107749,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,287.31493464,4.811002824
